,text,contains_image,contains_table,extracted_text,class
748,<<START_SECTION>>16.8<<END_SECTION>>,0,0,16.8,2.0
749,"<<START_SECTION>>(13.0, 18.1)<<END_SECTION>>",0,0,"(13.0, 18.1)",2.0
750,<<START_SECTION>>5.6<<END_SECTION>>,0,0,5.6,2.0
751,"<<START_SECTION>>(4.6, 7.8)<<END_SECTION>>",0,0,"(4.6, 7.8)",2.0
752,<<START_SECTION>>HR (95% CI)<<END_SECTION>>,0,0,HR (95% CI),2.0
753,"<<START_SECTION>>0.52 (0.42, 0.65)<<END_SECTION>>",0,0,"0.52 (0.42, 0.65)",2.0
754,<<START_SECTION>>p-value<<END_SECTION>>,0,0,p-value,2.0
755,<<START_SECTION>>p < 0.0001<<END_SECTION>>,0,0,p < 0.0001,2.0
756,<<START_SECTION>>PFS at 12 months (%) (95% CI)<<END_SECTION>>,0,0,PFS at 12 months (%) (95% CI),2.0
757,<<START_SECTION>>55.9%<<END_SECTION>>,0,0,55.9%,2.0
758,"<<START_SECTION>>(51.0%, 60.4%)<<END_SECTION>>",0,0,"(51.0%, 60.4%)",2.0
759,"<<START_SECTION>>    35.3% (29.0%, 41.7%)<<END_SECTION>>",0,0,"    35.3% (29.0%, 41.7%)",2.0
760,<<START_SECTION>>PFS at 18 months (%) (95% CI)<<END_SECTION>>,0,0,PFS at 18 months (%) (95% CI),2.0
761,<<START_SECTION>>44.2%<<END_SECTION>>,0,0,44.2%,2.0
762,"<<START_SECTION>>(37.7%, 50.5%)<<END_SECTION>>",0,0,"(37.7%, 50.5%)",2.0
763,<<START_SECTION>>27.0%<<END_SECTION>>,0,0,27.0%,2.0
764,"<<START_SECTION>>(19.9%, 34.5%)<<END_SECTION>>",0,0,"(19.9%, 34.5%)",2.0
765,<<START_SECTION>>PFS2<<END_SECTION>>,0,0,PFS2,2.0
766,<<START_SECTION>>Median PFS2b (months) (95% CI)<<END_SECTION>>,0,0,Median PFS2b (months) (95% CI),2.0
767,<<START_SECTION>>28.3<<END_SECTION>>,0,0,28.3,2.0
768,"<<START_SECTION>>(25.1, 34.7)<<END_SECTION>>",0,0,"(25.1, 34.7)",2.0
769,<<START_SECTION>>17.1<<END_SECTION>>,0,0,17.1,2.0
770,"<<START_SECTION>>(14.5, 20.7)<<END_SECTION>>",0,0,"(14.5, 20.7)",2.0
771,<<START_SECTION>>HR (95% CI)<<END_SECTION>>,0,0,HR (95% CI),2.0
772,"<<START_SECTION>>0.58 (0.46, 0.73)<<END_SECTION>>",0,0,"0.58 (0.46, 0.73)",2.0
773,<<START_SECTION>>p-value<<END_SECTION>>,0,0,p-value,2.0
774,<<START_SECTION>>p < 0.0001<<END_SECTION>>,0,0,p < 0.0001,2.0
775,<<START_SECTION>>a The analysis of OS was performed approximately 13 months after the primary analysis of PFS.<<END_SECTION>>,0,0,a The analysis of OS was performed approximately 13 months after the primary analysis of PFS.,2.0
776,<<START_SECTION>>b PFS2 is defined as the time from the date of randomisation until the date of second progression (defined by local standard clinical practice) or death.<<END_SECTION>>,0,0,b PFS2 is defined as the time from the date of randomisation until the date of second progression (defined by local standard clinical practice) or death.,2.0
777,<<START_SECTION>>NR: Not Reached<<END_SECTION>>,0,0,NR: Not Reached,2.0
778,<<START_SECTION>>	Figure 1 	Kaplan-Meier curve of OS (PACIFIC study)<<END_SECTION>>,1,0,	Figure 1 	Kaplan-Meier curve of OS (PACIFIC study),2.0
779,<<START_SECTION>>	Month 	33 	36 	39 	42 	45<<END_SECTION>>,0,0,	Month 	33 	36 	39 	42 	45,2.0
780,<<START_SECTION>>	IMFINZI 	57 	23 	2 	0 	0<<END_SECTION>>,0,0,	IMFINZI 	57 	23 	2 	0 	0,2.0
781,<<START_SECTION>>	Placebo 	237 	220 	198 	178 	170 	155 	141 	130 	117 	78 	42 	21 	9 	3 	1 	0<<END_SECTION>>,0,0,	Placebo 	237 	220 	198 	178 	170 	155 	141 	130 	117 	78 	42 	21 	9 	3 	1 	0,2.0
782,<<START_SECTION>>	Figure 2 	Kaplan-Meier curve of PFS (PACIFIC study)<<END_SECTION>>,1,0,	Figure 2 	Kaplan-Meier curve of PFS (PACIFIC study),2.0
783,<<START_SECTION>>	Month 	0 	3 	6 	9 	12 	15 	18 	21 	24 	27 	30<<END_SECTION>>,0,0,	Month 	0 	3 	6 	9 	12 	15 	18 	21 	24 	27 	30,2.0
784,<<START_SECTION>>IMFINZI 	476 	377 	301 	264 	159 	86 	44 	21 	4 	1 	0 Placebo 	237 	163 	106 	87 	52 	28 	15 	4 	3 	0 	0<<END_SECTION>>,0,0,IMFINZI 	476 	377 	301 	264 	159 	86 	44 	21 	4 	1 	0 Placebo 	237 	163 	106 	87 	52 	28 	15 	4 	3 	0 	0,2.0
785,"<<START_SECTION>>The improvements in PFS and OS in favour of patients receiving IMFINZI compared to those receiving placebo were consistently observed in all predefined subgroups analysed, including ethnicity, age, gender, smoking history, EGFR mutation status and histology. ALK mutation status was not analysed in this study. <<END_SECTION>>",0,0,"The improvements in PFS and OS in favour of patients receiving IMFINZI compared to those receiving placebo were consistently observed in all predefined subgroups analysed, including ethnicity, age, gender, smoking history, EGFR mutation status and histology. ALK mutation status was not analysed in this study. ",2.0
786,<<START_SUBHEADING>>Post-hoc subgroup analysis by PD-L1 expression<<END_SUBHEADING>>,0,0,Post-hoc subgroup analysis by PD-L1 expression,1.0
787,"<<START_SECTION>>Additional subgroup analyses were conducted to evaluate the efficacy by tumour PD-L1 expression (ò 25%, 1-24%, ò 1%, < 1%) and for patients whose PD-L1 status could not be established (PD-L1 unknown). PFS and OS results are summarised in Figure 3 and Figure 4. Overall the safety profile of durvalumab in PD-L1 TC ò1% subgroup was consistent with the intent to treat population, as was the PD-L1 TC <1% subgroup.<<END_SECTION>>",1,0,"Additional subgroup analyses were conducted to evaluate the efficacy by tumour PD-L1 expression (ò 25%, 1-24%, ò 1%, < 1%) and for patients whose PD-L1 status could not be established (PD-L1 unknown). PFS and OS results are summarised in Figure 3 and Figure 4. Overall the safety profile of durvalumab in PD-L1 TC ò1% subgroup was consistent with the intent to treat population, as was the PD-L1 TC <1% subgroup.",2.0
788,<<START_SECTION>>	Figure 3 	Forest plot of OS by PD-L1 expression (PACIFIC study)<<END_SECTION>>,1,0,	Figure 3 	Forest plot of OS by PD-L1 expression (PACIFIC study),2.0
789,<<START_SECTION>>	Figure 4 	Forest plot of PFS by PD-L1 expression (PACIFIC study)<<END_SECTION>>,1,0,	Figure 4 	Forest plot of PFS by PD-L1 expression (PACIFIC study),2.0
790,<<START_SECTION>><<END_SECTION>>,0,0,,2.0
791,<<START_SUBHEADING>>Patient reported outcomes<<END_SUBHEADING>>,0,0,Patient reported outcomes,1.0
792,"<<START_SECTION>>Patient-reported symptoms, function and health-related quality of life (HRQoL) were collected using the EORTC QLQ-C30 and its lung cancer module (EORTC QLQ-LC13). The LC13 and C30 were assessed at baseline and every 4 weeks for the first 8 weeks, then every 8 weeks until completion of the treatment period or discontinuation of study drug due to toxicity or disease progression. Compliance was similar between the IMFINZI and placebo treatment groups (83% vs 85.1% overall of evaluable forms completed).<<END_SECTION>>",0,0,"Patient-reported symptoms, function and health-related quality of life (HRQoL) were collected using the EORTC QLQ-C30 and its lung cancer module (EORTC QLQ-LC13). The LC13 and C30 were assessed at baseline and every 4 weeks for the first 8 weeks, then every 8 weeks until completion of the treatment period or discontinuation of study drug due to toxicity or disease progression. Compliance was similar between the IMFINZI and placebo treatment groups (83% vs 85.1% overall of evaluable forms completed).",2.0
793,"<<START_SECTION>>At baseline, no differences in patient reported symptoms, function or HRQoL were observed between IMFINZI and placebo groups. Throughout the duration of the study to week 48, there was no clinically meaningful difference between IMFINZI and placebo groups in symptoms, functioning and HRQoL (as assessed by a difference of greater than or equal to 10 points). <<END_SECTION>>",0,0,"At baseline, no differences in patient reported symptoms, function or HRQoL were observed between IMFINZI and placebo groups. Throughout the duration of the study to week 48, there was no clinically meaningful difference between IMFINZI and placebo groups in symptoms, functioning and HRQoL (as assessed by a difference of greater than or equal to 10 points). ",2.0
794,<<START_SUBHEADING>>Small Cell Lung Cancer (SCLC) <<END_SUBHEADING>>,0,0,Small Cell Lung Cancer (SCLC) ,1.0
795,"<<START_SECTION>>The efficacy of IMFINZI in combination with etoposide and either carboplatin or cisplatin in previously untreated ES-SCLC patients was investigated in CASPIAN, a randomised, open-label, multicentre study in treatment na‹ve ES-SCLC patients with WHO/ECOG performance status of  0 or 1. Patients in the trial were eligible to receive a platinum-based chemotherapy regimen as firstline treatment for SCLC, with life expectancy ò12 weeks, at least one target lesion by RECIST 1.1 and adequate organ and bone marrow function. Patients with asymptomatic or treated brain metastases were permitted. The study excluded patients with a history of chest radiation therapy;  a history of active primary immunodeficiency; autoimmune disorders including paraneoplastic syndrome (PNS); active or prior documented autoimmune or inflammatory disorders; use of systemic immunosuppressants within 14 days before the first dose of the treatment except physiological dose of systemic corticosteroids; active tuberculosis or hepatitis B or C or HIV infection; or patients receiving live attenuated vaccine within 30 days before or after the start of IMFINZI.<<END_SECTION>>",0,0,"The efficacy of IMFINZI in combination with etoposide and either carboplatin or cisplatin in previously untreated ES-SCLC patients was investigated in CASPIAN, a randomised, open-label, multicentre study in treatment na‹ve ES-SCLC patients with WHO/ECOG performance status of  0 or 1. Patients in the trial were eligible to receive a platinum-based chemotherapy regimen as firstline treatment for SCLC, with life expectancy ò12 weeks, at least one target lesion by RECIST 1.1 and adequate organ and bone marrow function. Patients with asymptomatic or treated brain metastases were permitted. The study excluded patients with a history of chest radiation therapy;  a history of active primary immunodeficiency; autoimmune disorders including paraneoplastic syndrome (PNS); active or prior documented autoimmune or inflammatory disorders; use of systemic immunosuppressants within 14 days before the first dose of the treatment except physiological dose of systemic corticosteroids; active tuberculosis or hepatitis B or C or HIV infection; or patients receiving live attenuated vaccine within 30 days before or after the start of IMFINZI.",2.0
796,<<START_SECTION>>Randomisation was stratified by the planned platinum-based therapy in cycle 1 (carboplatin or cisplatin).<<END_SECTION>>,0,0,Randomisation was stratified by the planned platinum-based therapy in cycle 1 (carboplatin or cisplatin).,2.0
797,<<START_SECTION>>? The evaluation of efficacy for ES-SCLC relied on comparison between: Arm 1: IMFINZI 1500 mg + etoposide (80-100 mg/m2) and either carboplatin (AUC 5 or 6 mg/mL/min) or cisplatin (75-80 mg/m2)<<END_SECTION>>,0,0,? The evaluation of efficacy for ES-SCLC relied on comparison between: Arm 1: IMFINZI 1500 mg + etoposide (80-100 mg/m2) and either carboplatin (AUC 5 or 6 mg/mL/min) or cisplatin (75-80 mg/m2),2.0
798,"<<START_SECTION>>? Arm 2: Either carboplatin (AUC 5 or 6 mg/mL/min) or cisplatin (75-80 mg/m2) on Day 1 and etoposide (80-100 mg/m2) intravenously on Days 1, 2, and 3 of each 21-day cycle for between 4 and 6 cycles.<<END_SECTION>>",0,0,"? Arm 2: Either carboplatin (AUC 5 or 6 mg/mL/min) or cisplatin (75-80 mg/m2) on Day 1 and etoposide (80-100 mg/m2) intravenously on Days 1, 2, and 3 of each 21-day cycle for between 4 and 6 cycles.",2.0
799,"<<START_SECTION>>For patients randomised to Arm 1 , etoposide and either carboplatin or cisplatin was limited to 4 cycles every 3 weeks subsequent to randomisation. IMFINZI monotherapy continued until disease progression or unacceptable toxicity. Administration of IMFINZI monotherapy was permitted beyond disease progression if the patient was clinically stable and deriving clinical benefit as determined by the investigator.<<END_SECTION>>",0,0,"For patients randomised to Arm 1 , etoposide and either carboplatin or cisplatin was limited to 4 cycles every 3 weeks subsequent to randomisation. IMFINZI monotherapy continued until disease progression or unacceptable toxicity. Administration of IMFINZI monotherapy was permitted beyond disease progression if the patient was clinically stable and deriving clinical benefit as determined by the investigator.",2.0
800,"<<START_SECTION>>Patients randomised to Arm 2, were permitted to receive a total of up to 6 cycles of etoposide and either carboplatin or cisplatin. After completion of chemotherapy, prophylactic cranial irradiation (PCI) was permitted only in Arm 2 per investigator discretion.<<END_SECTION>>",0,0,"Patients randomised to Arm 2, were permitted to receive a total of up to 6 cycles of etoposide and either carboplatin or cisplatin. After completion of chemotherapy, prophylactic cranial irradiation (PCI) was permitted only in Arm 2 per investigator discretion.",2.0
801,"<<START_SECTION>>Tumour assessments were conducted at Week 6 and Week 12 from the date of randomisation, and then every 8 weeks until confirmed objective disease progression. Survival assessments were conducted every 2 months following treatment discontinuation.<<END_SECTION>>",0,0,"Tumour assessments were conducted at Week 6 and Week 12 from the date of randomisation, and then every 8 weeks until confirmed objective disease progression. Survival assessments were conducted every 2 months following treatment discontinuation.",2.0
802,<<START_SECTION>>The primary endpoints of the study were Overall Survival (OS) of IMFINZI + chemotherapy (Arm<<END_SECTION>>,0,0,The primary endpoints of the study were Overall Survival (OS) of IMFINZI + chemotherapy (Arm,2.0
803,"<<START_SECTION>>1) vs. chemotherapy alone (Arm 2). The key secondary endpoint was progression-free survival (PFS). Other secondary endpoints were Objective Response Rate (ORR), OS and PFS landmarks and Patient Reported Outcomes (PRO). PFS and ORR were assessed using Investigator assessments according to RECIST v1.1.<<END_SECTION>>",0,0,"1) vs. chemotherapy alone (Arm 2). The key secondary endpoint was progression-free survival (PFS). Other secondary endpoints were Objective Response Rate (ORR), OS and PFS landmarks and Patient Reported Outcomes (PRO). PFS and ORR were assessed using Investigator assessments according to RECIST v1.1.",2.0
804,"<<START_SECTION>>At a planned interim analysis, IMFINZI + chemotherapy (Arm 1) vs chemotherapy (Arm 2) met the efficacy boundary of the primary endpoint of OS and at a planned follow-up OS analysis IMFINZI + chemotherapy (Arm 1) vs chemotherapy (Arm 2) continued to demonstrate improved OS. The results are summarised below.<<END_SECTION>>",0,0,"At a planned interim analysis, IMFINZI + chemotherapy (Arm 1) vs chemotherapy (Arm 2) met the efficacy boundary of the primary endpoint of OS and at a planned follow-up OS analysis IMFINZI + chemotherapy (Arm 1) vs chemotherapy (Arm 2) continued to demonstrate improved OS. The results are summarised below.",2.0
805,"<<START_SECTION>>The demographics and baseline disease characteristics were well balanced between the study arms (268 patients in Arm 1 and 269 patients in Arm 2). Baseline demographics of the overall study population were as follows: male (69.6%), age ò 65 years (39.6%), median age 63 years (range: 28 to 82 years), white (83.8%), Asian (14.5%), black or African American (0.9%), other (0.6 %), non-Hispanic or Latino (96.1%), current or past-smoker (93.1%), never smoker (6.9%), WHO/ECOG PS 0 (35.2%), WHO/ECOG PS 1 (64.8%), Stage IV 90.3%, 24.6% of the patients received cisplatin and 74.1% of the patients received carboplatin. In Arm 1, 1.1% of the patients received ò5 cycles of chemotherapy and 0.4% of the patients received ò6 cycles of chemotherapy based on etoposide exposure. In Arm 2, 62.8% of the patients received ò5 treatment cycles, 56.8% of the patients received the maximum of 6 treatment cycles based on etoposide exposure and 7.8% of the patients received PCI after chemotherapy.<<END_SECTION>>",0,0,"The demographics and baseline disease characteristics were well balanced between the study arms (268 patients in Arm 1 and 269 patients in Arm 2). Baseline demographics of the overall study population were as follows: male (69.6%), age ò 65 years (39.6%), median age 63 years (range: 28 to 82 years), white (83.8%), Asian (14.5%), black or African American (0.9%), other (0.6 %), non-Hispanic or Latino (96.1%), current or past-smoker (93.1%), never smoker (6.9%), WHO/ECOG PS 0 (35.2%), WHO/ECOG PS 1 (64.8%), Stage IV 90.3%, 24.6% of the patients received cisplatin and 74.1% of the patients received carboplatin. In Arm 1, 1.1% of the patients received ò5 cycles of chemotherapy and 0.4% of the patients received ò6 cycles of chemotherapy based on etoposide exposure. In Arm 2, 62.8% of the patients received ò5 treatment cycles, 56.8% of the patients received the maximum of 6 treatment cycles based on etoposide exposure and 7.8% of the patients received PCI after chemotherapy.",2.0
806,"<<START_SECTION>>The study demonstrated a statistically significant and clinically meaningful improvement in OS at the planned interim analysis with IMFINZI + chemotherapy (Arm 1) vs. chemotherapy alone (Arm 2) [HR=0.73 (95% CI: 0.591, 0.909), p=0.0047]. IMFINZI + chemotherapy demonstrated an improvement in PFS vs. chemotherapy alone [HR=0.78 (95% CI: 0.645, 0.936)].<<END_SECTION>>",0,0,"The study demonstrated a statistically significant and clinically meaningful improvement in OS at the planned interim analysis with IMFINZI + chemotherapy (Arm 1) vs. chemotherapy alone (Arm 2) [HR=0.73 (95% CI: 0.591, 0.909), p=0.0047]. IMFINZI + chemotherapy demonstrated an improvement in PFS vs. chemotherapy alone [HR=0.78 (95% CI: 0.645, 0.936)].",2.0
807,"<<START_SECTION>>In the planned follow-up OS analysis (median: 25.1 months), the median OS for Arm 1 and Arm 2 was consistent with the OS interim analysis. The PFS, ORR and DoR results from the planned interim analysis as well as the planned follow-up OS analysis results are summarised in Table 8. Kaplan-Meier curves for the planned follow-up OS and the interim analysis PFS are presented in Figure 5 and Figure 6.<<END_SECTION>>",1,1,"In the planned follow-up OS analysis (median: 25.1 months), the median OS for Arm 1 and Arm 2 was consistent with the OS interim analysis. The PFS, ORR and DoR results from the planned interim analysis as well as the planned follow-up OS analysis results are summarised in Table 8. Kaplan-Meier curves for the planned follow-up OS and the interim analysis PFS are presented in Figure 5 and Figure 6.",2.0
808,<<START_SECTION>>	Table 8 	Efficacy Results for the CASPIAN Study<<END_SECTION>>,0,1,	Table 8 	Efficacy Results for the CASPIAN Study,2.0
809,<<START_SECTION>>Arm 1: IMFINZI + etoposide and either<<END_SECTION>>,0,0,Arm 1: IMFINZI + etoposide and either,2.0
810,<<START_SECTION>>carboplatin or cisplatin (n=268)<<END_SECTION>>,0,0,carboplatin or cisplatin (n=268),2.0
811,<<START_SECTION>>Arm 2: etoposide and either carboplatin or<<END_SECTION>>,0,0,Arm 2: etoposide and either carboplatin or,2.0
812,<<START_SECTION>>cisplatin<<END_SECTION>>,0,0,cisplatin,2.0
813,<<START_SECTION>>(n=269)<<END_SECTION>>,0,0,(n=269),2.0
814,<<START_SECTION>>OSa<<END_SECTION>>,0,0,OSa,2.0
815,<<START_SECTION>>Number of deaths (%)<<END_SECTION>>,0,0,Number of deaths (%),2.0
816,<<START_SECTION>>210 (78.4)<<END_SECTION>>,0,0,210 (78.4),2.0
817,<<START_SECTION>>231 (85.9)<<END_SECTION>>,0,0,231 (85.9),2.0
818,<<START_SECTION>>Median OS (months) (95% CI)<<END_SECTION>>,0,0,Median OS (months) (95% CI),2.0
819,<<START_SECTION>>12.9<<END_SECTION>>,0,0,12.9,2.0
820,"<<START_SECTION>>(11.3, 14.7)<<END_SECTION>>",0,0,"(11.3, 14.7)",2.0
821,<<START_SECTION>>10.5<<END_SECTION>>,0,0,10.5,2.0
822,"<<START_SECTION>>(9.3, 11.2)<<END_SECTION>>",0,0,"(9.3, 11.2)",2.0
823,<<START_SECTION>>HR (95% CI)b<<END_SECTION>>,0,0,HR (95% CI)b,2.0
824,"<<START_SECTION>>0.75 (0.625, 0.910)<<END_SECTION>>",0,0,"0.75 (0.625, 0.910)",2.0
825,<<START_SECTION>>p-valuec<<END_SECTION>>,0,0,p-valuec,2.0
826,<<START_SECTION>>0.0032<<END_SECTION>>,0,0,0.0032,2.0
827,<<START_SECTION>>OS at 12 months (%) (95% CI)<<END_SECTION>>,0,0,OS at 12 months (%) (95% CI),2.0
828,<<START_SECTION>>52.8<<END_SECTION>>,0,0,52.8,2.0
829,"<<START_SECTION>>(46.6, 58.5)<<END_SECTION>>",0,0,"(46.6, 58.5)",2.0
830,<<START_SECTION>>39.3<<END_SECTION>>,0,0,39.3,2.0
831,"<<START_SECTION>>(33.4, 45.1)<<END_SECTION>>",0,0,"(33.4, 45.1)",2.0
832,<<START_SECTION>>OS at 18 months (%) (95% CI)<<END_SECTION>>,0,0,OS at 18 months (%) (95% CI),2.0
833,<<START_SECTION>>32.0<<END_SECTION>>,0,0,32.0,2.0
834,"<<START_SECTION>>(26.5, 37.7)<<END_SECTION>>",0,0,"(26.5, 37.7)",2.0
835,<<START_SECTION>>24.8<<END_SECTION>>,0,0,24.8,2.0
836,"<<START_SECTION>>(19.7, 30.1)<<END_SECTION>>",0,0,"(19.7, 30.1)",2.0
837,<<START_SECTION>>PFSd<<END_SECTION>>,0,0,PFSd,2.0
838,<<START_SECTION>>Number of events (%)<<END_SECTION>>,0,0,Number of events (%),2.0
839,<<START_SECTION>>226 (84.3)<<END_SECTION>>,0,0,226 (84.3),2.0
840,<<START_SECTION>>233 (86.6)<<END_SECTION>>,0,0,233 (86.6),2.0
841,<<START_SECTION>>Median PFS (months) (95% CI)<<END_SECTION>>,0,0,Median PFS (months) (95% CI),2.0
842,<<START_SECTION>>5.1<<END_SECTION>>,0,0,5.1,2.0
843,"<<START_SECTION>>(4.7, 6.2)<<END_SECTION>>",0,0,"(4.7, 6.2)",2.0
844,<<START_SECTION>>5.4<<END_SECTION>>,0,0,5.4,2.0
845,"<<START_SECTION>>(4.8, 6.2)<<END_SECTION>>",0,0,"(4.8, 6.2)",2.0
846,<<START_SECTION>>HR (95% CI)b<<END_SECTION>>,0,0,HR (95% CI)b,2.0
847,"<<START_SECTION>>0.78 (0.645, 0.936)<<END_SECTION>>",0,0,"0.78 (0.645, 0.936)",2.0
848,<<START_SECTION>>PFS at 6 months (%) (95% CI)<<END_SECTION>>,0,0,PFS at 6 months (%) (95% CI),2.0
849,<<START_SECTION>>45.4<<END_SECTION>>,0,0,45.4,2.0
850,"<<START_SECTION>>(39.3, 51.3)<<END_SECTION>>",0,0,"(39.3, 51.3)",2.0
851,<<START_SECTION>>45.6<<END_SECTION>>,0,0,45.6,2.0
852,"<<START_SECTION>>(39.3, 51.7)<<END_SECTION>>",0,0,"(39.3, 51.7)",2.0
853,<<START_SECTION>>PFS at 12 months (%) (95% CI)<<END_SECTION>>,0,0,PFS at 12 months (%) (95% CI),2.0
854,<<START_SECTION>>17.5<<END_SECTION>>,0,0,17.5,2.0
855,"<<START_SECTION>>(13.1, 22.5)<<END_SECTION>>",0,0,"(13.1, 22.5)",2.0
856,<<START_SECTION>>4.7<<END_SECTION>>,0,0,4.7,2.0
857,"<<START_SECTION>>(2.4, 8.0)<<END_SECTION>>",0,0,"(2.4, 8.0)",2.0
858,"<<START_SECTION>>ORR n (%)d,e<<END_SECTION>>",0,0,"ORR n (%)d,e",2.0
859,<<START_SECTION>>182 (67.9)<<END_SECTION>>,0,0,182 (67.9),2.0
860,<<START_SECTION>>155 (57.6)<<END_SECTION>>,0,0,155 (57.6),2.0
861,<<START_SECTION>>Complete Response n (%)<<END_SECTION>>,0,0,Complete Response n (%),2.0
862,<<START_SECTION>>6 (2.2)<<END_SECTION>>,0,0,6 (2.2),2.0
863,<<START_SECTION>>2 (0.7)<<END_SECTION>>,0,0,2 (0.7),2.0
864,<<START_SECTION>>Partial Response n (%)<<END_SECTION>>,0,0,Partial Response n (%),2.0
865,<<START_SECTION>>176 (65.7)<<END_SECTION>>,0,0,176 (65.7),2.0
866,<<START_SECTION>>153 (56.9)<<END_SECTION>>,0,0,153 (56.9),2.0
867,<<START_SECTION>>Odds ratio (95% CI)f<<END_SECTION>>,0,0,Odds ratio (95% CI)f,2.0
868,"<<START_SECTION>>1.56 (1.095, 2.218)<<END_SECTION>>",0,0,"1.56 (1.095, 2.218)",2.0
869,"<<START_SECTION>>Median DoR (months) (95% CI) d,f<<END_SECTION>>",0,0,"Median DoR (months) (95% CI) d,f",2.0
870,<<START_SECTION>>5.1<<END_SECTION>>,0,0,5.1,2.0
871,"<<START_SECTION>>(4.9, 5.3)<<END_SECTION>>",0,0,"(4.9, 5.3)",2.0
872,<<START_SECTION>>5.1<<END_SECTION>>,0,0,5.1,2.0
873,"<<START_SECTION>>(4.8, 5.3)<<END_SECTION>>",0,0,"(4.8, 5.3)",2.0
874,"<<START_SECTION>>DoR at 12 months (%)d,f<<END_SECTION>>",0,0,"DoR at 12 months (%)d,f",2.0
875,<<START_SECTION>>22.7<<END_SECTION>>,0,0,22.7,2.0
876,<<START_SECTION>>6.3<<END_SECTION>>,0,0,6.3,2.0
877,<<START_SECTION>>a Follow-up OS analysis at clinical cut-off  27 January 2020.<<END_SECTION>>,0,0,a Follow-up OS analysis at clinical cut-off  27 January 2020.,2.0
878,"<<START_SECTION>>b The analysis was performed using the stratified log-rank test, adjusting for planned platinum therapy in Cycle 1 (carboplatin or cisplatin), and using the rank tests of association approach.<<END_SECTION>>",0,0,"b The analysis was performed using the stratified log-rank test, adjusting for planned platinum therapy in Cycle 1 (carboplatin or cisplatin), and using the rank tests of association approach.",2.0
879,"<<START_SECTION>>c At the interim analysis (data cut-off 11 March 2019) the OS p-value was 0.0047, which met the boundary for declaring statistical significance of 0.0178 for a 4% overall 2-sided alpha, based on a Lan-DeMets alpha spending function with O'Brien Fleming type boundary with the actual number of events observed.<<END_SECTION>>",0,0,"c At the interim analysis (data cut-off 11 March 2019) the OS p-value was 0.0047, which met the boundary for declaring statistical significance of 0.0178 for a 4% overall 2-sided alpha, based on a Lan-DeMets alpha spending function with O'Brien Fleming type boundary with the actual number of events observed.",2.0
880,"<<START_SECTION>>d PFS, ORR and DoR analyses at clinical cut-off 11 March 2019. e 	Confirmed Objective Response.<<END_SECTION>>",0,0,"d PFS, ORR and DoR analyses at clinical cut-off 11 March 2019. e 	Confirmed Objective Response.",2.0
881,<<START_SECTION>>f 	The analysis was performed using a logistic regression model adjusting for planned platinum therapy in Cycle 1 (carboplatin or cisplatin) with 95% CI calculated by profile likelihood.<<END_SECTION>>,0,0,f 	The analysis was performed using a logistic regression model adjusting for planned platinum therapy in Cycle 1 (carboplatin or cisplatin) with 95% CI calculated by profile likelihood.,2.0
882,<<START_SECTION>>	Figure 5 	Kaplan-Meier curve of OS<<END_SECTION>>,1,0,	Figure 5 	Kaplan-Meier curve of OS,2.0
883,<<START_SECTION>>	Figure 6 	Kaplan-Meier curve of PFS<<END_SECTION>>,1,0,	Figure 6 	Kaplan-Meier curve of PFS,2.0
884,<<START_SECTION>><<END_SECTION>>,0,0,,2.0
885,<<START_SUBHEADING>>Subgroup analysis: <<END_SUBHEADING>>,0,0,Subgroup analysis: ,1.0
886,"<<START_SECTION>>The improvements in OS in favour of patients receiving IMFINZI + chemotherapy compared to those receiving chemotherapy alone, were consistently observed across the prespecified subgroups based on demographics, geographical region, carboplatin or cisplatin use and disease characteristics.<<END_SECTION>>",0,0,"The improvements in OS in favour of patients receiving IMFINZI + chemotherapy compared to those receiving chemotherapy alone, were consistently observed across the prespecified subgroups based on demographics, geographical region, carboplatin or cisplatin use and disease characteristics.",2.0
887,<<START_SECTION>>Change from baseline in lung cancer symptoms over 12 months (mixed model for repeated measures):<<END_SECTION>>,0,0,Change from baseline in lung cancer symptoms over 12 months (mixed model for repeated measures):,2.0
888,"<<START_SECTION>>IMFINZI + chemotherapy improved appetite loss by demonstrating a statistically significant difference in mean change from baseline versus chemotherapy alone during the overall time period from randomisation until 12 months (Estimated mean difference -4.5; 99% CI -9.04, -0.04; p=0.009). Both treatment arms demonstrated numerical symptom reduction in cough, chest pain, dyspnoea and fatigue over the same time period.<<END_SECTION>>",0,0,"IMFINZI + chemotherapy improved appetite loss by demonstrating a statistically significant difference in mean change from baseline versus chemotherapy alone during the overall time period from randomisation until 12 months (Estimated mean difference -4.5; 99% CI -9.04, -0.04; p=0.009). Both treatment arms demonstrated numerical symptom reduction in cough, chest pain, dyspnoea and fatigue over the same time period.",2.0
889,<<START_SECTION>>Patient-reported outcome results should be interpreted in the context of the open-label study design.<<END_SECTION>>,0,0,Patient-reported outcome results should be interpreted in the context of the open-label study design.,2.0
